Recid;MStamp;MStation;IDTrefwoordActief;IDTrefwoordPassief
1000001;2008-01-17;1;1000694;1000695
1000002;2008-01-17;1;1000206;1000207
1000004;2008-03-17;1;1001419;1000181
1000005;2008-03-17;1;1001419;1001089
1000006;2008-03-19;1;1000181;1001089
1000007;2008-05-06;1;1001429;1001428
1000008;2008-11-12;1;1001460;1000829
1000009;2008-11-13;1;1001461;1000209
1000010;2008-11-13;1;1001462;1001022
1000011;2008-11-17;1;1001463;1000186
1000012;2008-11-24;1;1000031;1000032
1000013;2008-11-24;1;1001465;1000689
1000014;2008-11-26;1;1001467;1000170
1000015;2009-01-15;1;1001470;1001262
1000016;2009-01-16;1;1001472;1001471
1000017;2009-01-21;1;1001473;1000217
1000018;2009-02-19;1;1001479;1001478
1000019;2009-04-09;1;1000053;1000054
1000020;2009-07-07;1;1001516;1000884
1000021;2009-07-07;1;1001517;1001516
1000022;2009-07-07;1;1001517;1000884
1000024;2009-09-10;1;1001532;1000100
1000025;2009-09-10;1;1001532;1001183
1000026;2009-09-10;1;1001235;1000100
1000027;2009-09-10;1;1001235;1001532
1000028;2009-09-10;1;1001533;1000465
1000029;2009-09-11;1;1001513;1000181
1000030;2009-11-13;1;1001542;1001269
1000031;2009-12-02;1;1001528;1001200
1000032;2010-01-12;1;1001552;1001499
1000033;2010-01-12;1;1001385;1000107
1000034;2010-01-29;1;1001556;1001555
1000035;2010-03-18;1;1001561;1000071
1000036;2010-04-22;1;1001562;1000094
1000037;2010-06-18;1;1001566;1001362
1000038;2010-09-02;1;1001569;1001090
1000039;2010-09-10;1;1001570;1001352
1000040;2011-07-13;1;1001584;1001083
1000041;2011-07-13;1;1001584;1001082
1000042;2011-07-22;1;1001586;1001452
1000043;2012-01-03;1;1001603;1000798
1000044;2012-02-08;1;1001609;1001594
1000045;2012-02-17;1;1000067;1000065
1000046;2012-02-17;1;1000067;1000068
1000047;2012-02-17;1;1000068;1000065
1000048;2012-03-13;1;1001094;1001095
1000049;2012-03-13;1;1000069;1000070
1000050;2012-03-13;1;1000099;1000100
1000051;2012-03-13;1;1000022;1000023
1000052;2012-03-13;1;1000056;1000059
1000053;2012-03-13;1;1000058;1000059
1000054;2012-03-13;1;1000143;1000144
1000055;2012-03-13;1;1000203;1000204
1000056;2012-03-13;1;1000999;1001000
1000057;2012-03-13;1;1000806;1000808
1000058;2012-03-13;1;1000315;1000319
1000059;2012-03-13;1;1000035;1000036
1000060;2012-03-13;1;1000836;1000837
1000061;2012-03-13;1;1001128;1001129
1000062;2012-03-13;1;1000472;1000474
1000063;2012-03-13;1;1000110;1000112
1000064;2012-03-13;1;1000110;1000111
1000065;2012-03-13;1;1000628;1000629
1000066;2012-03-14;1;1000102;1000103
1000067;2012-03-14;1;1000592;1000593
1000068;2012-03-14;1;1000803;1000804
1000069;2012-03-14;1;1000226;1000228
1000070;2012-03-14;1;1000414;1000415
1000071;2012-03-14;1;1000141;1000142
1000072;2012-03-14;1;1000025;1000026
1000073;2012-03-14;1;1000316;1000319
1000074;2012-03-14;1;1000160;1000162
1000075;2012-03-14;1;1000013;1000017
1000076;2012-03-14;1;1000063;1000064
1000077;2012-03-14;1;1000250;1000251
1000078;2012-03-14;1;1001307;0
1000079;2012-03-14;1;1000691;1000695
1000080;2012-03-14;1;1001001;1001002
1000081;2012-03-14;1;1000530;1000531
1000082;2012-03-14;1;1001092;1001093
1000083;2012-03-14;1;1000485;1000486
1000084;2012-03-14;1;1000392;1000399
1000085;2012-03-14;1;1000154;1000155
1000086;2012-03-14;1;1000927;1000928
1000087;2012-03-14;1;1000127;1000128
1000088;2012-03-14;1;1000473;1000471
1000089;2012-03-15;1;1000372;1000374
1000090;2012-03-15;1;1000692;1000695
1000091;2012-03-15;1;1000270;1000271
1000092;2012-03-15;1;1000227;1000228
1000093;2012-03-15;1;1000355;1000356
1000094;2012-03-15;1;1000113;1000114
1000095;2012-03-15;1;1001013;1001014
1000096;2012-03-15;1;1000161;1000162
1000097;2012-03-15;1;1000409;1000410
1000098;2012-03-15;1;1000158;1000159
1000099;2012-03-15;1;1000393;1000399
1000100;2012-03-15;1;1000303;1000304
1000101;2012-03-15;1;1000909;1000910
1000102;2012-03-15;1;1000382;1000383
1000103;2012-03-15;1;1000951;1000952
1000104;2012-03-15;1;1000264;1000265
1000105;2012-03-15;1;1000312;1000314
1000106;2012-03-15;1;1000370;1000371
1000107;2012-03-15;1;1000275;1000276
1000108;2012-03-15;1;1000317;1000319
1000109;2012-03-15;1;1000188;1000189
1000110;2012-03-15;1;1000081;1000083
1000111;2012-03-15;1;1000185;1000186
1000112;2012-03-15;1;1000185;1001463
1000113;2012-03-15;1;1000480;1000481
1000114;2012-03-15;1;1000066;1000068
1000115;2012-03-15;1;1000066;1000065
1000116;2012-03-15;1;1000066;1000067
1000117;2012-03-15;1;1000424;1000425
1000118;2012-03-15;1;1000776;1000777
1000119;2012-03-15;1;1000366;1000367
1000120;2012-03-15;1;1000662;1000663
1000121;2012-03-15;1;1000546;1000547
1000122;2012-03-15;1;1000322;1000323
1000123;2012-03-15;1;1000568;1000569
1000124;2012-03-15;1;1000965;1000966
1000125;2012-03-15;1;1000753;1000754
1000126;2012-03-15;1;1000278;1000279
1000127;2012-03-15;1;1000489;1000490
1000128;2012-03-15;1;1000725;1000726
1000129;2012-03-15;1;1000197;1000198
1000130;2012-03-15;1;1000041;1000048
1000131;2012-03-15;1;1000014;1000017
1000132;2012-03-15;1;1000015;1000017
1000133;2012-03-15;1;1000134;1000135
1000134;2012-03-15;1;1000405;1000406
1000135;2012-03-15;1;1001243;1000150
1000136;2012-03-15;1;1001243;1000151
1000137;2012-03-15;1;1000150;1000151
1000138;2012-03-15;1;1000042;1000041
1000139;2012-03-15;1;1000042;1000048
1000140;2012-03-15;1;1000282;1000283
1000141;2012-03-15;1;1000043;1000048
1000142;2012-03-15;1;1000373;1000374
1000143;2012-03-15;1;1000183;1000184
1000144;2012-03-15;1;1001238;1001240
1000145;2012-03-15;1;1000358;1000359
1000146;2012-03-15;1;1000016;1000017
1000147;2012-03-15;1;1000002;1000006
1000148;2012-03-15;1;1000388;1000389
1000149;2012-03-15;1;1000496;1000498
1000150;2012-03-15;1;1001236;1001235
1000151;2012-03-15;1;1000499;1000500
1000152;2012-03-15;1;1000818;1000819
1000153;2012-03-15;1;1001112;1001113
1000154;2012-03-15;1;1000394;1000399
1000155;2012-03-15;1;1000395;1000399
1000156;2012-03-15;1;1000082;1000083
1000157;2012-03-15;1;1000082;1000081
1000158;2012-03-15;1;1000564;1000565
1000159;2012-03-15;1;1000396;1000399
1000160;2012-03-15;1;1000655;1000656
1000161;2012-03-15;1;1000942;1000943
1000162;2012-03-15;1;1000397;1000399
1000163;2012-03-15;1;1000456;1000458
1000164;2012-03-15;1;1000774;1000775
1000165;2012-03-15;1;1000497;1000498
1000166;2012-03-15;1;1000057;1000059
1000167;2012-03-15;1;1000398;1000399
1000168;2012-03-15;1;1000434;1000435
1000169;2012-03-15;1;1000448;1000449
1000170;2012-03-15;1;1000471;1000474
1000171;2012-03-15;1;1000190;1000191
1000172;2012-03-15;1;1000444;1000445
1000173;2012-03-15;1;1000487;1000488
1000174;2012-03-15;1;1000050;1000051
1000175;2012-03-15;1;1000257;1000258
1000176;2012-03-15;1;1000257;1000259
1000177;2012-03-15;1;1000807;1000808
1000178;2012-03-15;1;1000888;1000889
1000179;2012-03-15;1;1000118;1000119
1000180;2012-03-15;1;1000118;1001104
1000181;2012-03-15;1;1000108;1000109
1000182;2012-03-15;1;1000199;1000200
1000183;2012-03-15;1;1000152;1000153
1000184;2012-03-15;1;1000003;1000006
1000185;2012-03-15;1;1000180;1000181
1000186;2012-03-15;1;1000553;1000551
1000187;2012-03-15;1;1000004;1000006
1000188;2012-03-15;1;1000258;1000259
1000189;2012-03-15;1;1000457;1000458
1000190;2012-03-15;1;1000552;1000553
1000191;2012-03-15;1;1000005;1000006
1000192;2012-03-15;1;1000545;1001354
1000193;2012-03-15;1;1000222;1000223
1000194;2012-03-15;1;1000170;1001582
1000195;2012-03-15;1;1000170;1000171
1000196;2012-03-15;1;1000890;1000891
1000197;2012-03-15;1;1000090;1000091
1000198;2012-03-15;1;1000106;1000107
1000199;2012-03-15;1;1001239;1001240
1000200;2012-03-15;1;1001239;1001238
1000201;2012-03-15;1;1000111;1000112
1000202;2012-03-15;1;1000693;1000695
1000203;2012-03-15;1;1000311;1000310
1000204;2012-03-15;1;1000311;1000309
1000205;2012-03-15;1;1000762;1000763
1000206;2012-03-15;1;1000678;1000679
1000207;2012-03-15;1;1000177;1000178
1000208;2012-03-15;1;1000313;1000314
1000209;2012-03-15;1;1000116;1000117
1000210;2012-03-15;1;1000318;1000319
1000211;2012-04-05;1;1001621;1000600
1000212;2012-04-18;1;1001622;1001099
1000213;2012-04-26;1;1001624;1001623
1000214;2012-05-03;1;1000347;1000348
1000215;2012-08-23;1;1001642;1000823
1000216;2012-09-03;1;1001646;1000168
