Recid;MStamp;MStation;IDArtikelHistoriek;IDDocument;IDRelatieTypeArt;IDRelatieTypeDoc
1000001;2007-01-09;1;1080800;1015340;1;1
1000010;2007-01-09;1;1081473;1014109;3;7
1000011;2007-01-10;1;1062134;1015215;1;1
1000012;2007-01-10;1;1062134;1015356;1;1
1000013;2007-01-11;1;1070192;1015357;1;1
1000014;2007-01-12;1;1063754;1015362;1;1
1000015;2007-01-12;1;1061950;1015363;1;1
1000016;2007-01-12;1;1061957;1015363;1;1
1000017;2007-01-12;1;1061964;1015363;1;1
1000018;2007-01-12;1;1063477;1015363;1;1
1000019;2007-01-12;1;1063484;1015363;1;1
1000020;2007-01-12;1;1061959;1015364;1;1
1000021;2007-01-12;1;1063491;1015363;1;1
1000022;2007-01-12;1;1063486;1015364;1;1
1000023;2007-01-18;1;1068593;1015374;1;1
1000024;2007-01-18;1;1082854;1013039;1;1
1000025;2007-01-18;1;1082854;1014524;0;666
1000026;2007-01-18;1;1082854;1014524;1;1
1000027;2007-01-25;1;1083462;1006539;1;1
1000028;2007-01-26;1;1061081;1015396;1;1
1000029;2007-01-26;1;1061081;1015395;1;1
1000030;2007-01-26;1;1061081;1015398;1;1
1000031;2007-01-26;1;1061081;1015397;1;1
1000032;2007-02-05;1;1080762;1015464;1;1
1000033;2007-02-06;1;1083775;1013334;666;0
1000035;2007-02-06;1;1057225;1015485;0;666
1000036;2007-02-06;1;1057225;1015485;1;1
1000038;2007-02-12;1;1083596;1015508;666;0
1000039;2007-02-12;1;1025537;1015281;3;7
1000040;2007-02-12;1;1084384;1015295;1;1
1000041;2007-02-20;1;1084508;1005098;1;1
1000042;2007-02-20;1;1023199;1007238;1;1
1000043;2007-03-02;1;1075614;1015594;1;1
1000046;2007-03-09;1;1022863;1015618;1;1
1000047;2007-03-09;1;1084552;1015618;1;1
1000048;2007-03-13;1;1000946;1015625;1;1
1000049;2007-03-26;1;1086435;1014500;1;1
1000050;2007-03-26;1;1000955;1015647;1;1
1000051;2007-03-26;1;1085076;1015647;1;1
1000052;2007-03-26;1;1059265;1015656;1;1
1000053;2007-03-26;1;1062937;1015656;1;1
1000054;2007-03-26;1;1076783;1015656;1;1
1000055;2007-03-26;1;1059265;1015657;1;1
1000056;2007-03-26;1;1062937;1015657;1;1
1000057;2007-03-26;1;1076783;1015657;1;1
1000058;2007-03-26;1;1059265;1015654;1;1
1000059;2007-03-26;1;1062937;1015654;1;1
1000060;2007-03-26;1;1076783;1015654;1;1
1000061;2007-03-26;1;1059265;1015655;1;1
1000062;2007-03-26;1;1062937;1015655;1;1
1000063;2007-03-26;1;1076783;1015655;1;1
1000064;2007-03-26;1;1059265;1015650;1;1
1000065;2007-03-26;1;1062937;1015650;1;1
1000066;2007-03-26;1;1076783;1015650;1;1
1000067;2007-03-26;1;1059265;1015651;1;1
1000068;2007-03-26;1;1062937;1015651;1;1
1000069;2007-03-26;1;1076783;1015651;1;1
1000070;2007-03-26;1;1059265;1015652;1;1
1000071;2007-03-26;1;1062937;1015652;1;1
1000072;2007-03-26;1;1076783;1015652;1;1
1000073;2007-03-26;1;1059265;1015653;1;1
1000074;2007-03-26;1;1062937;1015653;1;1
1000075;2007-03-26;1;1076783;1015653;1;1
1000076;2007-03-26;1;1059267;1015658;1;1
1000077;2007-04-03;1;1013197;1000950;1;1
1000078;2007-04-03;1;1013197;1002789;1;1
1000079;2007-04-03;1;1062690;1015681;1;1
1000080;2007-04-03;1;1046035;1015681;1;1
1000081;2007-04-03;1;1062690;1015682;1;1
1000082;2007-04-03;1;1046035;1015682;1;1
1000083;2007-04-03;1;1060254;1015677;1;1
1000084;2007-04-05;1;1051105;1015691;1;1
1000085;2007-04-05;1;1064005;1015689;1;1
1000086;2007-04-06;1;1081634;1015696;1;1
1000087;2007-04-06;1;1055182;1015699;1;1
1000088;2007-04-06;1;1065584;1015699;1;1
1000089;2007-04-13;1;1083162;1015710;1;1
1000090;2007-04-13;1;1083163;1015710;1;1
1000091;2007-04-16;1;1035507;1015712;1;1
1000093;2007-04-20;1;1066157;1015718;1;1
1000094;2007-04-20;1;1066172;1015718;1;1
1000095;2007-04-20;1;1066173;1015718;1;1
1000096;2007-04-20;1;1069818;1015716;1;1
1000097;2007-04-20;1;1069832;1015716;1;1
1000098;2007-04-20;1;1054086;1015716;1;1
1000099;2007-04-23;1;1048756;1015720;1;1
1000100;2007-04-23;1;1048776;1015720;1;1
1000101;2007-04-24;1;1048784;1015724;1;1
1000102;2007-04-24;1;1021969;1015728;1;1
1000104;2007-04-24;1;1087308;1005098;1;1
1000105;2007-04-24;1;1087308;1001597;1;1
1000106;2007-04-25;1;1006826;1015731;1;1
1000107;2007-04-25;1;1020053;1015731;1;1
1000108;2007-04-26;1;1000974;1015735;1;1
1000109;2007-04-26;1;1077836;1015735;1;1
1000110;2007-04-26;1;1000974;1015734;1;1
1000111;2007-04-26;1;1029857;1015734;1;1
1000112;2007-04-26;1;1077870;1015734;1;1
1000113;2007-04-26;1;1084934;1015736;1;1
1000114;2007-04-30;1;1063802;1015741;1;1
1000115;2007-04-30;1;1081574;1015741;1;1
1000116;2007-04-30;1;1021969;1015744;1;1
1000117;2007-04-30;1;1054087;1015742;1;1
1000118;2007-05-10;1;1087169;1015758;1;1
1000119;2007-05-10;1;1069818;1015758;1;1
1000120;2007-05-10;1;1069832;1015758;1;1
1000121;2007-05-21;1;1082155;1015778;1;1
1000122;2007-05-21;1;1087374;1015778;1;1
1000123;2007-05-23;1;1062021;1015793;1;1
1000124;2007-05-23;1;1063545;1015793;1;1
1000125;2007-05-25;1;1086599;1015794;1;1
1000126;2007-05-31;1;1020053;1015800;1;1
1000127;2007-05-31;1;1030413;1015802;1;1
1000129;2007-06-07;1;1028997;1015813;1;1
1000130;2007-06-07;1;1034131;1015813;1;1
1000131;2007-06-07;1;1068574;1015770;1;1
1000132;2007-06-08;1;1082137;1015824;1;1
1000133;2007-06-13;1;1031361;1015230;0;666
1000134;2007-06-13;1;1031361;1015230;1;1
1000135;2007-06-14;1;1004574;1000518;1;1
1000136;2007-06-14;1;1004574;1000519;1;1
1000137;2007-06-14;1;1004574;1000520;0;666
1000138;2007-06-14;1;1004574;1000520;1;1
1000139;2007-06-14;1;1004574;1000521;1;1
1000140;2007-06-14;1;1004574;1000522;1;1
1000141;2012-07-24;1;1004574;1000523;666;4
1000142;2007-06-14;1;1004574;1000524;1;1
1000143;2007-06-14;1;1004574;1000525;1;1
1000144;2007-06-14;1;1004574;1000526;1;1
1000145;2007-06-14;1;1004574;1000527;1;1
1000146;2007-06-14;1;1004574;1000528;1;1
1000147;2007-06-14;1;1004574;1000529;1;1
1000148;2007-06-14;1;1004574;1000530;1;1
1000149;2007-06-14;1;1004574;1000531;1;1
1000150;2007-06-14;1;1004574;1000532;1;1
1000151;2007-06-14;1;1004574;1000533;1;1
1000152;2007-06-14;1;1004574;1000534;1;1
1000153;2007-06-14;1;1004574;1000535;1;1
1000154;2007-06-14;1;1004574;1000536;1;1
1000155;2007-06-14;1;1004574;1000537;1;1
1000157;2007-06-14;1;1004574;1000539;1;1
1000158;2007-06-14;1;1004574;1000540;1;1
1000160;2007-06-14;1;1004574;1000542;1;1
1000161;2007-06-14;1;1004574;1000543;1;1
1000162;2007-06-14;1;1004574;1000544;1;1
1000163;2007-06-14;1;1004574;1000545;1;1
1000164;2007-06-14;1;1004574;1000546;1;1
1000166;2007-06-14;1;1004574;1000548;1;1
1000167;2007-06-14;1;1004574;1000549;1;1
1000168;2007-06-14;1;1004574;1000550;1;1
1000169;2007-06-14;1;1004574;1000551;1;1
1000170;2007-06-14;1;1004574;1000552;1;1
1000171;2007-06-14;1;1004574;1000553;1;1
1000172;2007-06-14;1;1004574;1000554;1;1
1000173;2007-06-14;1;1004574;1000385;1;1
1000175;2007-06-14;1;1004574;1004014;1;1
1000176;2007-06-14;1;1004574;1004709;0;666
1000177;2007-06-14;1;1004574;1000555;1;1
1000178;2007-06-14;1;1004574;1004709;1;1
1000179;2007-06-14;1;1004574;1004710;1;1
1000180;2007-06-14;1;1004574;1000953;1;1
1000181;2007-06-14;1;1004574;1004711;1;1
1000182;2007-06-14;1;1004574;1004700;1;1
1000183;2007-06-14;1;1004574;1004712;1;1
1000184;2007-06-14;1;1004574;1004701;1;1
1000185;2007-06-14;1;1004574;1004702;1;1
1000186;2007-06-14;1;1004574;1001308;1;1
1000187;2007-06-14;1;1004574;1002406;1;1
1000188;2007-06-15;1;1089186;1015819;1;1
1000189;2007-06-15;1;1004574;1004703;0;666
1000190;2007-06-15;1;1004574;1004703;1;1
1000191;2007-06-15;1;1004574;1003133;1;1
1000192;2007-06-15;1;1004574;1004704;1;1
1000193;2007-06-15;1;1004574;1004705;1;1
1000194;2007-06-15;1;1004574;1002495;1;1
1000195;2007-06-15;1;1004574;1004706;1;1
1000196;2007-06-15;1;1004574;1004707;1;1
1000197;2007-06-15;1;1004574;1004708;1;1
1000198;2007-06-15;1;1004574;1003259;1;1
1000199;2007-06-15;1;1004574;1003011;1;1
1000200;2007-06-15;1;1004574;1003294;1;1
1000201;2007-06-15;1;1004574;1003224;1;1
1000202;2007-06-15;1;1004574;1003162;1;1
1000203;2007-06-15;1;1004574;1000658;1;1
1000204;2007-06-15;1;1004574;1001072;1;1
1000205;2007-06-15;1;1004574;1002496;1;1
1000206;2007-06-15;1;1004574;1001311;1;1
1000207;2007-06-15;1;1004574;1001899;1;1
1000208;2007-06-15;1;1004574;1001761;1;1
1000209;2007-06-15;1;1004574;1001129;1;1
1000210;2007-06-18;1;1033403;1015851;1;1
1000211;2007-06-18;1;1038735;1015850;1;1
1000212;2007-06-18;1;1047579;1015850;1;1
1000213;2007-06-18;1;1082958;1015846;1;1
1000214;2007-06-19;1;1079252;1015863;1;1
1000215;2007-06-19;1;1053727;1015865;1;1
1000216;2007-06-20;1;1068321;1015871;1;1
1000217;2007-06-20;1;1073881;1015867;1;1
1000218;2007-06-20;1;1061892;1015867;1;1
1000219;2007-06-20;1;1070024;1015867;1;1
1000220;2007-06-20;1;1063421;1015867;1;1
1000221;2007-06-20;1;1054143;1015869;1;1
1000222;2007-06-20;1;1013390;1015860;1;1
1000223;2007-06-20;1;1089543;1002838;1;1
1000224;2007-06-20;1;1036162;1015860;1;1
1000225;2007-06-20;1;1045418;1015860;1;1
1000227;2007-06-20;1;1089726;1008346;1;1
1000228;2007-06-21;1;1089519;1002838;1;1
1000229;2007-06-21;1;1069818;1015876;1;1
1000230;2007-06-21;1;1069832;1015876;1;1
1000231;2007-06-21;1;1087183;1015876;1;1
1000232;2007-06-21;1;1086599;1015878;1;1
1000233;2007-06-21;1;1088866;1015878;666;0
1000234;2007-06-21;1;1088866;1015878;1;1
1000235;2007-06-26;1;1063754;1015890;1;1
1000236;2007-06-28;1;1074599;1015897;1;1
1000237;2007-06-28;1;1048651;1015900;1;1
1000238;2007-06-28;1;1081654;1015902;1;1
1000239;2007-06-28;1;1059265;1015903;1;1
1000240;2007-06-28;1;1062937;1015903;1;1
1000241;2007-06-28;1;1076783;1015903;1;1
1000242;2007-07-02;1;1059265;1015912;1;1
1000243;2007-07-02;1;1062937;1015912;1;1
1000244;2007-07-02;1;1076783;1015912;1;1
1000245;2007-07-02;1;1059265;1015911;1;1
1000246;2007-07-02;1;1062937;1015911;1;1
1000247;2007-07-02;1;1076783;1015911;1;1
1000249;2007-07-02;1;1060165;1015923;1;1
1000250;2007-07-02;1;1060163;1015924;1;1
1000251;2007-07-02;1;1081614;1015926;1;1
1000252;2007-07-02;1;1059265;1015930;1;1
1000253;2007-07-02;1;1062937;1015930;1;1
1000254;2007-07-02;1;1076783;1015930;1;1
1000255;2007-07-03;1;1051105;1015935;1;1
1000256;2007-07-03;1;1046042;1015935;1;1
1000257;2007-07-12;1;1035035;1015957;1;1
1000258;2007-07-16;1;1003305;1015965;1;1
1000259;2007-07-24;1;1059267;1015985;1;1
1000260;2007-07-24;1;1020473;1015983;1;1
1000262;2007-07-31;1;1059265;1016011;1;1
1000263;2007-07-31;1;1062937;1016011;1;1
1000264;2007-07-31;1;1076783;1016011;1;1
1000265;2007-07-31;1;1048764;1015998;1;1
1000266;2007-07-31;1;1093078;1014325;1;1
1000267;2007-08-01;1;1054436;1006597;1;1
1000268;2007-08-03;1;1074282;1016033;1;1
1000269;2007-08-03;1;1057123;1016033;1;1
1000270;2007-08-03;1;1093496;1016038;1;1
1000271;2007-08-03;1;1076604;1016032;1;1
1000272;2007-08-09;1;1089928;1016059;1;1
1000273;2007-08-09;1;1054143;1016060;1;1
1000274;2007-08-09;1;1087534;1016062;1;1
1000275;2007-08-10;1;1048801;1016066;1;1
1000276;2007-08-27;1;1043113;1016110;1;1
1000277;2007-08-27;1;1048573;1016107;1;1
1000278;2007-08-27;1;1048578;1016105;1;1
1000279;2007-08-30;1;1067323;1016114;1;1
1000280;2007-08-30;1;1021850;1016114;1;1
1000281;2007-08-30;1;1076363;1016114;1;1
1000282;2007-09-04;1;1081798;1016123;1;1
1000283;2007-09-04;1;1055157;1016122;1;1
1000284;2007-09-04;1;1095086;1000722;1;1
1000285;2007-09-04;1;1095087;1000393;1;1
1000286;2007-09-04;1;1094886;1016120;1;1
1000287;2007-09-06;1;1095906;1006166;1;1
1000288;2007-09-06;1;1095918;1006573;1;1
1000289;2007-09-11;1;1081798;1016146;1;1
1000290;2007-09-11;1;1081803;1016146;1;1
1000291;2007-09-12;1;1089420;1016149;1;1
1000292;2007-09-14;1;1079252;1016153;1;1
1000293;2007-09-14;1;1096371;1015352;3;7
1000294;2007-09-14;1;1096371;1015268;3;7
1000295;2007-09-14;1;1096371;1015556;3;7
1000296;2007-09-14;1;1020473;1016155;1;1
1000297;2007-09-14;1;1000402;1016156;1;1
1000298;2007-09-14;1;1010068;1016157;1;1
1000299;2007-09-14;1;1008021;1016157;1;1
1000300;2007-09-25;1;1059265;1016169;1;1
1000301;2007-09-25;1;1062937;1016169;1;1
1000302;2007-09-25;1;1063624;1016169;1;1
1000303;2007-10-01;1;1078050;1016180;1;1
1000304;2007-10-01;1;1078107;1016180;1;1
1000305;2007-10-04;1;1080746;1016201;1;1
1000306;2007-10-05;1;1080746;1016202;1;1
1000307;2007-10-09;1;1008963;1016220;1;1
1000308;2007-10-12;1;1095488;1016242;1;1
1000309;2007-10-15;1;1061081;1016244;1;1
1000310;2007-10-15;1;1061081;1016237;1;1
1000311;2007-10-15;1;1081903;1016239;1;1
1000312;2007-10-15;1;1087489;1016239;1;1
1000313;2007-10-15;1;1087513;1016240;1;1
1000314;2007-10-17;1;1097816;1016256;1;1
1000315;2007-10-18;1;1017334;1016258;1;1
1000316;2007-10-19;1;1096463;1016261;1;1
1000317;2007-10-23;1;1049127;1016275;1;1
1000318;2007-10-24;1;1097718;1016279;1;1
1000319;2007-10-26;1;1093838;1016284;1;1
1000320;2007-10-29;1;1054423;1016292;1;1
1000321;2007-10-29;1;1080262;1016292;1;1
1000322;2007-11-05;1;1098421;1016300;1;1
1000323;2007-11-05;1;1098426;1016300;1;1
1000324;2007-11-05;1;1055577;1016301;1;1
1000325;2007-11-05;1;1098433;1016301;1;1
1000326;2007-11-06;1;1050366;1016304;1;1
1000327;2007-11-06;1;1066212;1016304;1;1
1000328;2007-11-07;1;1097714;1016314;1;1
1000329;2007-11-07;1;1063746;1016312;1;1
1000330;2007-11-09;1;1089528;1016324;1;1
1000331;2007-11-09;1;1089535;1016324;1;1
1000332;2007-11-12;1;1096454;1016328;1;1
1000333;2007-11-12;1;1074860;1016328;1;1
1000334;2007-11-14;1;1045525;1016334;1;1
1000335;2007-11-14;1;1094519;1016337;1;1
1000336;2007-11-14;1;1094520;1016337;1;1
1000338;2007-11-14;1;1064074;1016340;1;1
1000339;2007-11-14;1;1064074;1016341;1;1
1000340;2007-11-14;1;1064074;1016342;1;1
1000341;2007-11-14;1;1064074;1016343;1;1
1000342;2007-11-19;1;1067405;1016345;1;1
1000343;2007-11-19;1;1049126;1016346;1;1
1000345;2007-11-23;1;1085057;1016361;1;1
1000346;2007-11-23;1;1035090;1016363;1;1
1000347;2007-11-23;1;1098100;1016365;1;1
1000348;2007-11-23;1;1090240;1016366;1;1
1000349;2007-11-23;1;1060305;1016366;1;1
1000350;2007-11-23;1;1097754;1016367;1;1
1000351;2007-11-26;1;1035090;1016373;1;1
1000352;2007-11-27;1;1028794;1016375;1;1
1000353;2007-11-27;1;1066972;1016375;1;1
1000354;2007-11-27;1;1041194;1016376;1;1
1000355;2007-12-03;1;1097204;1016381;1;1
1000356;2007-12-03;1;1054420;1016384;1;1
1000357;2007-12-03;1;1054426;1016384;1;1
1000358;2007-12-03;1;1028690;1016387;1;1
1000359;2007-12-03;1;1061081;1016385;1;1
1000360;2007-12-03;1;1063633;1016386;1;1
1000361;2007-12-03;1;1085391;1016388;1;1
1000362;2007-12-05;1;1041448;1016397;1;1
1000363;2007-12-05;1;1041448;1016398;1;1
1000364;2007-12-06;1;1097190;1016400;1;1
1000365;2007-12-11;1;1100037;1013534;1;1
1000366;2007-12-11;1;1090928;1016407;1;1
1000367;2007-12-17;1;1083815;1016413;1;1
1000368;2007-12-17;1;1083816;1016413;1;1
1000369;2007-12-18;1;1005681;1016418;1;1
1000371;2007-12-21;1;1100407;1014740;1;1
1000372;2007-12-21;1;1100407;1015242;1;1
1000373;2008-01-04;1;1013171;1016446;1;1
1000374;2008-01-04;1;1063688;1016446;1;1
1000375;2008-01-04;1;1094617;1016454;1;1
1000376;2008-01-04;1;1086399;1016455;1;1
1000377;2008-01-04;1;1099662;1016456;1;1
1000378;2008-01-07;1;1094459;1016473;666;0
1000379;2008-01-07;1;1094459;1016473;1;1
1000381;2008-01-11;1;1079252;1016483;1;1
1000382;2008-01-14;1;1098511;1016497;1;1
1000383;2008-01-15;1;1082651;1016498;1;1
1000385;2008-01-15;1;1101560;1009799;1;1
1000386;2008-01-16;1;1011715;1016500;1;1
1000387;2008-01-17;1;1083841;1016506;1;1
1000388;2008-01-17;1;1094880;1016506;1;1
1000389;2008-01-18;1;1097816;1016512;1;1
1000390;2008-01-21;1;1014213;1016516;1;1
1000391;2008-01-21;1;1077836;1016519;1;1
1000392;2008-01-24;1;1095308;1016533;1;1
1000393;2008-01-24;1;1095515;1016533;1;1
1000394;2008-01-28;1;1061081;1016541;1;1
1000395;2008-01-28;1;1061081;1016542;1;1
1000396;2008-01-28;1;1061081;1016543;1;1
1000397;2008-01-29;1;1062007;1016544;1;1
1000398;2008-02-01;1;1054047;1016558;1;1
1000399;2008-02-07;1;1059265;1016581;1;1
1000400;2008-02-07;1;1062937;1016581;1;1
1000401;2008-02-07;1;1076783;1016581;1;1
1000402;2008-02-07;1;1059265;1016582;1;1
1000403;2008-02-07;1;1062937;1016582;1;1
1000404;2008-02-07;1;1076783;1016582;1;1
1000405;2008-02-22;1;1090759;1016607;1;1
1000406;2008-02-25;1;1103363;1014325;1;1
1000407;2008-02-25;1;1103364;1005622;1;1
1000408;2008-02-25;1;1081582;1016609;1;1
1000409;2008-02-25;1;1099017;1016612;1;1
1000410;2008-03-03;1;1069920;1016624;1;1
1000411;2008-03-03;1;1053439;1016624;1;1
1000412;2008-03-03;1;1103674;1002838;1;1
1000413;2008-03-03;1;1103683;1002838;1;1
1000414;2008-03-03;1;1103687;1002838;1;1
1000415;2008-03-03;1;1034499;1016627;1;1
1000416;2008-03-03;1;1059265;1016628;1;1
1000417;2008-03-03;1;1062937;1016628;1;1
1000418;2008-03-03;1;1059265;1016629;1;1
1000419;2008-03-03;1;1062937;1016629;1;1
1000420;2008-03-03;1;1059265;1016630;1;1
1000421;2008-03-03;1;1062937;1016630;1;1
1000422;2008-03-03;1;1059265;1016631;1;1
1000423;2008-03-03;1;1062937;1016631;1;1
1000424;2008-03-04;1;1103773;1012775;1;1
1000425;2008-03-04;1;1103776;1005904;1;1
1000426;2008-03-04;1;1087489;1016636;1;1
1000427;2008-03-05;1;1059265;1016640;1;1
1000428;2008-03-05;1;1062937;1016640;1;1
1000429;2008-03-06;1;1059265;1016642;1;1
1000430;2008-03-06;1;1062937;1016642;1;1
1000431;2008-03-06;1;1098566;1016643;1;1
1000432;2008-03-17;1;1059265;1016655;1;1
1000433;2008-03-17;1;1062937;1016655;1;1
1000434;2008-03-17;1;1059265;1016657;1;1
1000435;2008-03-17;1;1062936;1016657;1;1
1000436;2008-03-17;1;1104242;1016628;1;1
1000437;2008-03-17;1;1104242;1016629;1;1
1000438;2008-03-17;1;1104242;1016630;1;1
1000439;2008-03-17;1;1104242;1016631;1;1
1000440;2008-03-17;1;1104242;1016640;1;1
1000441;2008-03-17;1;1104242;1016642;1;1
1000442;2008-03-17;1;1104242;1016655;1;1
1000443;2008-03-17;1;1050395;1014562;1;1
1000444;2008-03-17;1;1061081;1016663;1;1
1000445;2008-03-17;1;1050395;1016664;1;1
1000446;2008-03-17;1;1072484;1016665;1;1
1000451;2008-03-19;1;1070060;1016669;1;1
1000452;2008-03-19;1;1087017;1016669;1;1
1000453;2008-03-20;1;1086599;1016672;1;1
1000454;2008-03-25;1;1011718;1016682;1;1
1000455;2008-03-26;1;1066975;1016681;1;1
1000457;2008-03-26;1;1074861;1016681;1;1
1000458;2008-03-28;1;1095038;1016694;1;1
1000459;2008-04-01;1;1101633;1016699;1;1
1000460;2008-04-01;1;1101633;1016700;1;1
1000461;2008-04-01;1;1104938;1006889;1;1
1000462;2008-04-01;1;1057426;1016702;1;1
1000463;2008-04-04;1;1105135;1016712;0;666
1000464;2008-04-04;1;1105135;1016712;1;1
1000465;2008-04-08;1;1089592;1016716;1;1
1000466;2008-04-09;1;1020473;1016720;1;1
1000467;2008-04-09;1;1051105;1016721;1;1
1000468;2008-04-11;1;1051105;1016727;1;1
1000469;2008-04-14;1;1094392;1016729;1;1
1000470;2008-04-14;1;1039660;1016729;1;1
1000472;2008-04-15;1;1035553;1016732;1;1
1000473;2008-04-17;1;1004376;1016736;1;1
1000474;2008-04-17;1;1004399;1016736;1;1
1000475;2008-04-17;1;1003324;1016739;1;1
1000476;2008-04-17;1;1003325;1016739;1;1
1000477;2008-04-17;1;1003342;1016739;1;1
1000478;2008-05-06;1;1081614;1016755;1;1
1000479;2008-05-06;1;1060254;1016758;1;1
1000480;2008-05-06;1;1090333;1016758;1;1
1000481;2008-05-14;1;1048771;1016762;1;1
1000482;2008-05-14;1;1090788;1016762;1;1
1000483;2008-05-14;1;1085057;1016764;1;1
1000484;2008-05-14;1;1037753;1016764;1;1
1000485;2008-05-14;1;1103395;1016764;1;1
1000486;2008-05-26;1;1026846;1016783;1;1
1000487;2008-05-26;1;1048758;1016783;1;1
1000488;2008-05-26;1;1090784;1016783;1;1
1000489;2008-05-26;1;1039037;1016785;1;1
1000490;2008-05-26;1;1046035;1016785;1;1
1000491;2008-05-27;1;1059052;1016790;1;1
1000492;2008-05-27;1;1059052;1016789;1;1
1000493;2008-05-27;1;1008658;1016791;1;1
1000494;2008-05-29;1;1083117;1016797;1;1
1000495;2008-05-29;1;1106228;1016797;1;1
1000496;2008-05-29;1;1048772;1016796;1;1
1000497;2008-05-30;1;1089751;1016800;1;1
1000498;2008-05-30;1;1028810;1016800;1;1
1000499;2008-06-03;1;1108382;1016803;1;1
1000500;2008-06-05;1;1098373;1016810;1;1
1000501;2008-06-11;1;1005344;1016819;1;1
